alias,canonical_role_id,canonical_role,evidence_count
质量工程师,testing-engineer,测试工程师,12
室内设计师,designer,设计师,12
建筑设计师,designer,设计师,12
设计员,designer,设计师,12
(急招)中医医生,backend-engineer,后端工程师,11
(急聘)护士,backend-engineer,后端工程师,11
(机会来了)口腔护士,backend-engineer,后端工程师,11
(高薪10000元以上)全科医生,backend-engineer,后端工程师,11
(高薪10000元以上)眼科医生,backend-engineer,后端工程师,11
[直招]护士,backend-engineer,后端工程师,11
[诚聘]口腔护士,backend-engineer,后端工程师,11
【急招】护士,backend-engineer,后端工程师,11
【急缺】口腔护士,backend-engineer,后端工程师,11
【有保障】口腔护士,backend-engineer,后端工程师,11
【机会来了】口腔护士,backend-engineer,后端工程师,11
业务专员,backend-engineer,后端工程师,11
会籍顾问,backend-engineer,后端工程师,11
前厅经理,backend-engineer,后端工程师,11
化学老师,backend-engineer,后端工程师,11
医药代表,backend-engineer,后端工程师,11
医药销售经理,backend-engineer,后端工程师,11
叉车工包,backend-engineer,后端工程师,11
商主管,backend-engineer,后端工程师,11
地区经理,backend-engineer,后端工程师,11
城市主管,backend-engineer,后端工程师,11
城市合伙人募,backend-engineer,后端工程师,11
客户销售代表,backend-engineer,后端工程师,11
导购,backend-engineer,后端工程师,11
市场策划,backend-engineer,后端工程师,11
房产经纪人,backend-engineer,后端工程师,11
技术经理,backend-engineer,后端工程师,11
暑假工普工,backend-engineer,后端工程师,11
服务员,backend-engineer,后端工程师,11
案场经理,backend-engineer,后端工程师,11
汽车销售,backend-engineer,后端工程师,11
理疗师,backend-engineer,后端工程师,11
生产技术员,backend-engineer,后端工程师,11
研发专员,backend-engineer,后端工程师,11
系统工程师,backend-engineer,后端工程师,11
给排水工程师,backend-engineer,后端工程师,11
网络客服天,backend-engineer,后端工程师,11
网络销售专员,backend-engineer,后端工程师,11
英语教师,backend-engineer,后端工程师,11
药剂师,backend-engineer,后端工程师,11
营业员,backend-engineer,后端工程师,11
营养师,backend-engineer,后端工程师,11
营销策划,backend-engineer,后端工程师,11
董事长秘书,backend-engineer,后端工程师,11
财务专员,backend-engineer,后端工程师,11
质检主管,backend-engineer,后端工程师,11
质检员仓库管理员,backend-engineer,后端工程师,11
送货员,backend-engineer,后端工程师,11
酒店店长,backend-engineer,后端工程师,11
销售文员,backend-engineer,后端工程师,11
销售经理应届毕业生,backend-engineer,后端工程师,11
销售顾问,backend-engineer,后端工程师,11
项目专员,backend-engineer,后端工程师,11
风控专员,security-engineer,安全工程师,11
物业项目经理,role-物业项目经理,物业项目经理,11
设计,designer,设计师,11
电商运营专员,operations-specialist,运营,11
运营主管,operations-specialist,运营,11
前端工程师,frontend-engineer,前端工程师,10
前端开发工程师,frontend-engineer,前端工程师,10
(10000元以上高薪)中西医结合,backend-engineer,后端工程师,10
(急招)前台,backend-engineer,后端工程师,10
(急招)口腔执业医生,backend-engineer,后端工程师,10
"(急招)口腔护士,护士",backend-engineer,后端工程师,10
(急缺)口腔医生,backend-engineer,后端工程师,10
(机会来了)护士,backend-engineer,后端工程师,10
(热门投递)护士,backend-engineer,后端工程师,10
(直招)护士,backend-engineer,后端工程师,10
(高薪30000元以上)种植医生,backend-engineer,后端工程师,10
[有保障]护士,backend-engineer,后端工程师,10
otc代表,backend-engineer,后端工程师,10
【待遇优】口腔护士,backend-engineer,后端工程师,10
【直招】口腔医生,backend-engineer,后端工程师,10
【直接谈】口腔护士,backend-engineer,后端工程师,10
业务员销售,backend-engineer,后端工程师,10
仓库管理,backend-engineer,后端工程师,10
传菜员,backend-engineer,后端工程师,10
促销员,backend-engineer,后端工程师,10
保险专员,backend-engineer,后端工程师,10
健康管理师,backend-engineer,后端工程师,10
包装工,backend-engineer,后端工程师,10
区域主管,backend-engineer,后端工程师,10
区销售经理,backend-engineer,后端工程师,10
医药商经理,backend-engineer,后端工程师,10
华东销售代表,backend-engineer,后端工程师,10
售后服务,backend-engineer,后端工程师,10
售后经理,backend-engineer,后端工程师,10
商务代表,backend-engineer,后端工程师,10
土建技术员,backend-engineer,后端工程师,10
培训专员,backend-engineer,后端工程师,10
外贸销售,backend-engineer,后端工程师,10
审计专员,backend-engineer,后端工程师,10
客户主管,backend-engineer,后端工程师,10
展厅经理,backend-engineer,后端工程师,10
市场拓展_北方,backend-engineer,后端工程师,10
幼儿园教师,backend-engineer,后端工程师,10
总经理秘书,backend-engineer,后端工程师,10
房产销售,backend-engineer,后端工程师,10
技术主管,backend-engineer,后端工程师,10
护士长,backend-engineer,后端工程师,10
搬运工,backend-engineer,后端工程师,10
数学教师,backend-engineer,后端工程师,10
新车金融客户经理,backend-engineer,后端工程师,10
早教老师,backend-engineer,后端工程师,10
水暖工程师,backend-engineer,后端工程师,10
汽融客户经理,backend-engineer,后端工程师,10
活动策划,backend-engineer,后端工程师,10
火锅店招聘服务员传菜员,backend-engineer,后端工程师,10
焊工包,backend-engineer,后端工程师,10
省区商经理,backend-engineer,后端工程师,10
综合文员,backend-engineer,后端工程师,10
美容师,backend-engineer,后端工程师,10
美工,backend-engineer,后端工程师,10
英语老师,backend-engineer,后端工程师,10
营运经理,backend-engineer,后端工程师,10
营销专员,backend-engineer,后端工程师,10
行政后勤,backend-engineer,后端工程师,10
行政总监,backend-engineer,后端工程师,10
计划员,backend-engineer,后端工程师,10
设备技术员,backend-engineer,后端工程师,10
话务员,backend-engineer,后端工程师,10
质检员包,backend-engineer,后端工程师,10
超市店长,backend-engineer,后端工程师,10
车工,backend-engineer,后端工程师,10
车间操作工,backend-engineer,后端工程师,10
软件开发工程师,backend-engineer,后端工程师,10
钣金技师,backend-engineer,后端工程师,10
销售业务,backend-engineer,后端工程师,10
销售代表销售经理,backend-engineer,后端工程师,10
销售会计,backend-engineer,后端工程师,10
销售顾问汽车销售,backend-engineer,后端工程师,10
防水材料区域销售经理,backend-engineer,后端工程师,10
安全主管,security-engineer,安全工程师,10
物流经理,security-engineer,安全工程师,10
数据分析,role-数据分析,数据分析,10
质量体系工程师,testing-engineer,测试工程师,10
质量检验员,testing-engineer,测试工程师,10
ui设计师,designer,设计师,10
景观设计师,designer,设计师,10
设计主管,designer,设计师,10
运营,operations-specialist,运营,10
产品工程师,product-manager,产品经理,9
eb前端开发工程师,frontend-engineer,前端工程师,9
(急招)口腔助理医生,backend-engineer,后端工程师,9
(急招)检验,backend-engineer,后端工程师,9
(急缺)口腔护士,backend-engineer,后端工程师,9
(直接谈)口腔医生,backend-engineer,后端工程师,9
"(直接谈)护士,口腔护士",backend-engineer,后端工程师,9
(福利好)口腔护士,backend-engineer,后端工程师,9
"(诚聘)护士,口腔护士",backend-engineer,后端工程师,9
"(高薪10000元以上)口腔医生,正畸医生,种植医生",backend-engineer,后端工程师,9
(高薪20000元以上)正畸医生,backend-engineer,后端工程师,9
[不要错过]口腔医生,backend-engineer,后端工程师,9
[不要错过]口腔护士,backend-engineer,后端工程师,9
[急聘]口腔医生,backend-engineer,后端工程师,9
[直聘]口腔护士,backend-engineer,后端工程师,9
"【放心投】护士,口腔护士",backend-engineer,后端工程师,9
业务经理销售经理,backend-engineer,后端工程师,9
中化学教师,backend-engineer,后端工程师,9
中政治教师,backend-engineer,后端工程师,9
中英语教师,backend-engineer,后端工程师,9
临时工,backend-engineer,后端工程师,9
事业合伙人,backend-engineer,后端工程师,9
人事培训专员,backend-engineer,后端工程师,9
人资主管,backend-engineer,后端工程师,9
仓库保管员,backend-engineer,后端工程师,9
仓库理配货员,backend-engineer,后端工程师,9
企划专员,backend-engineer,后端工程师,9
公关经理,backend-engineer,后端工程师,9
前台接待员,backend-engineer,后端工程师,9
加工中心操作工,backend-engineer,后端工程师,9
区域经理,backend-engineer,后端工程师,9
区域销售专员,backend-engineer,后端工程师,9
区域销售总监,backend-engineer,后端工程师,9
厨师长,backend-engineer,后端工程师,9
后期制作,backend-engineer,后端工程师,9
咖啡师,backend-engineer,后端工程师,9
品牌经理,backend-engineer,后端工程师,9
品质经理,backend-engineer,后端工程师,9
售后客服,backend-engineer,后端工程师,9
售后服务经理,backend-engineer,后端工程师,9
喷漆工,backend-engineer,后端工程师,9
